MarketCap,Date
0.0,2022-03-28
0.0,2022-03-29
0.0,2022-03-30
0.0,2022-03-31
0.0,2022-04-01
8410103.20432061,2022-04-02
8732338.973366719,2022-04-03
8408106.843221106,2022-04-04
8296198.360117688,2022-04-05
8915206.471513849,2022-04-06
8688050.004934652,2022-04-07
8648221.814414952,2022-04-08
8784149.437474605,2022-04-09
7801552.77789028,2022-04-10
7724493.272503712,2022-04-11
6567976.202252942,2022-04-12
6610758.857171774,2022-04-13
6679793.015493491,2022-04-14
7143682.026100291,2022-04-15
7389173.758959011,2022-04-16
7749827.853145044,2022-04-17
7744553.74637202,2022-04-18
7749713.200789537,2022-04-19
7806608.381600724,2022-04-20
7921296.522965231,2022-04-21
8202477.054271775,2022-04-22
7809920.961811707,2022-04-23
7758381.269950943,2022-04-24
7535837.918612585,2022-04-25
7961497.562878472,2022-04-26
7954327.344499528,2022-04-27
7328214.04356757,2022-04-28
7602008.548869583,2022-04-29
8078343.939563892,2022-04-30
7270358.071364975,2022-05-01
7084479.920173836,2022-05-02
6790971.224464592,2022-05-03
6789306.065888913,2022-05-04
6615147.080248012,2022-05-05
6139060.995600044,2022-05-06
6157123.926776107,2022-05-07
5558289.218584768,2022-05-08
6151656.854161253,2022-05-09
4823222.162716629,2022-05-10
4711944.969884999,2022-05-11
3382547.256002514,2022-05-12
3694868.954236701,2022-05-13
3645056.296178513,2022-05-14
3695647.25138145,2022-05-15
3575130.286639204,2022-05-16
3793314.607242799,2022-05-17
3585527.2926550233,2022-05-18
3573938.153412845,2022-05-19
3825014.0623650514,2022-05-20
3808875.7735172976,2022-05-21
3869528.905771829,2022-05-22
3995637.7470700815,2022-05-23
4126389.8689569207,2022-05-24
4157478.52713077,2022-05-25
4142738.6201545987,2022-05-26
4084690.3733193334,2022-05-27
4110565.5493529486,2022-05-28
4015051.889105739,2022-05-29
3539979.217166303,2022-05-30
3714089.154971592,2022-05-31
3714712.0608674022,2022-06-01
3733736.986550368,2022-06-02
3897529.6663562204,2022-06-03
4257712.795675038,2022-06-04
4405408.647711448,2022-06-05
4312444.323895725,2022-06-06
4301147.645464739,2022-06-07
4304877.045901006,2022-06-08
4298520.638724513,2022-06-09
4567709.22828234,2022-06-10
4446140.609929488,2022-06-11
4472484.298012162,2022-06-12
4696104.598063607,2022-06-13
4125208.156336402,2022-06-14
4187776.887249612,2022-06-15
3767492.696474195,2022-06-16
3791647.205740956,2022-06-17
3929066.5297300685,2022-06-18
3860198.323049335,2022-06-19
3889252.9767814884,2022-06-20
3888110.16664179,2022-06-21
3844943.3167174635,2022-06-22
4390665.439690233,2022-06-23
4362712.00781142,2022-06-24
4290561.640030797,2022-06-25
4367812.704001635,2022-06-26
4213667.266021974,2022-06-27
4206080.538473788,2022-06-28
4184488.6172470246,2022-06-29
4078207.8015914233,2022-06-30
3916768.3111465666,2022-07-01
3957800.5999776935,2022-07-02
3547592.513111864,2022-07-03
3456124.7985337498,2022-07-04
3484062.558529501,2022-07-05
3570172.1606031773,2022-07-06
3920542.156877428,2022-07-07
3843713.81564124,2022-07-08
4043305.6381984227,2022-07-09
3971947.6215295787,2022-07-10
4054747.946483465,2022-07-11
4084930.368017258,2022-07-12
