Date,0,1,2,3,4,5,6,7,8,9
2013-05-18 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-19 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-20 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-21 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-22 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-23 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-24 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-25 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-26 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-27 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-28 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-29 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-30 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-05-31 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-01 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
