Open Time,Open,High,Low,Close
2021-09-13 02:00:00,0.00005047,0.00077764,0.00005047,0.00011865
2021-09-14 02:00:00,0.00011814,0.00013416,0.00010579,0.00010579
2021-09-15 02:00:00,0.00010618,0.00013232,0.00010121,0.00011916
2021-09-16 02:00:00,0.00011945,0.00034774,0.00011877,0.00023730
2021-09-17 02:00:00,0.00023522,0.00029646,0.00020654,0.00028703
2021-09-18 02:00:00,0.00028660,0.00033400,0.00024603,0.00028192
2021-09-19 02:00:00,0.00028192,0.00031520,0.00026268,0.00026963
2021-09-20 02:00:00,0.00026985,0.00028261,0.00023900,0.00024798
2021-09-21 02:00:00,0.00024830,0.00030465,0.00024140,0.00028828
2021-09-22 02:00:00,0.00028868,0.00030700,0.00027037,0.00028414
2021-09-23 02:00:00,0.00028421,0.00032211,0.00028092,0.00029403
2021-09-24 02:00:00,0.00029409,0.00030226,0.00026554,0.00027369
2021-09-25 02:00:00,0.00027369,0.00028855,0.00026241,0.00026430
2021-09-26 02:00:00,0.00026430,0.00028148,0.00024914,0.00025544
2021-09-27 02:00:00,0.00025544,0.00026975,0.00025040,0.00025118
2021-09-28 02:00:00,0.00025087,0.00025714,0.00022907,0.00023007
2021-09-29 02:00:00,0.00023020,0.00024430,0.00021965,0.00022747
2021-09-30 02:00:00,0.00022608,0.00026187,0.00021961,0.00025909
2021-10-01 02:00:00,0.00025865,0.00027507,0.00022826,0.00023704
2021-10-02 02:00:00,0.00023846,0.00026395,0.00023565,0.00023754
2021-10-03 02:00:00,0.00023754,0.00028827,0.00022805,0.00026411
2021-10-04 02:00:00,0.00026491,0.00028494,0.00025194,0.00026358
2021-10-05 02:00:00,0.00026398,0.00026610,0.00023227,0.00023674
2021-10-06 02:00:00,0.00023674,0.00024142,0.00022171,0.00022796
2021-10-07 02:00:00,0.00022824,0.00023349,0.00021737,0.00021956
2021-10-08 02:00:00,0.00021990,0.00024261,0.00021924,0.00023790
2021-10-09 02:00:00,0.00023748,0.00025491,0.00023128,0.00023489
2021-10-10 02:00:00,0.00023489,0.00023700,0.00021963,0.00022378
2021-10-11 02:00:00,0.00022486,0.00022778,0.00021073,0.00021541
2021-10-12 02:00:00,0.00021548,0.00021548,0.00019080,0.00019388
2021-10-13 02:00:00,0.00019388,0.00019841,0.00017910,0.00018006
2021-10-14 02:00:00,0.00017986,0.00020898,0.00017962,0.00019423
2021-10-15 02:00:00,0.00019404,0.00019674,0.00018126,0.00018759
2021-10-16 02:00:00,0.00018779,0.00019373,0.00018199,0.00018567
2021-10-17 02:00:00,0.00018616,0.00019094,0.00017677,0.00017774
2021-10-18 02:00:00,0.00017782,0.00017984,0.00017000,0.00017203
2021-10-19 02:00:00,0.00017186,0.00017336,0.00016870,0.00017037
2021-10-20 02:00:00,0.00017037,0.00017975,0.00017005,0.00017271
2021-10-21 02:00:00,0.00017295,0.00017975,0.00017200,0.00017712
2021-10-22 02:00:00,0.00017725,0.00017897,0.00016969,0.00017476
2021-10-23 02:00:00,0.00017476,0.00017908,0.00017308,0.00017399
2021-10-24 02:00:00,0.00017375,0.00017845,0.00016890,0.00017142
2021-10-25 02:00:00,0.00017146,0.00017573,0.00016993,0.00017443
2021-10-26 02:00:00,0.00017443,0.00018970,0.00017300,0.00018890
2021-10-27 02:00:00,0.00018890,0.00020285,0.00015858,0.00016694
2021-10-28 02:00:00,0.00016680,0.00017550,0.00015810,0.00016491
2021-10-29 02:00:00,0.00016418,0.00019074,0.00016406,0.00017390
2021-10-30 02:00:00,0.00017418,0.00022013,0.00017102,0.00019788
2021-10-31 02:00:00,0.00019790,0.00022399,0.00017585,0.00018226
2021-11-01 01:00:00,0.00018239,0.00018243,0.00016466,0.00016503
2021-11-02 01:00:00,0.00016520,0.00018191,0.00016323,0.00017674
2021-11-03 01:00:00,0.00017657,0.00018867,0.00016554,0.00016752
2021-11-04 01:00:00,0.00016763,0.00017584,0.00016255,0.00016450
2021-11-05 01:00:00,0.00016421,0.00016674,0.00014929,0.00015049
2021-11-06 01:00:00,0.00015047,0.00015314,0.00014083,0.00014229
2021-11-07 01:00:00,0.00014229,0.00014386,0.00013474,0.00013941
2021-11-08 01:00:00,0.00014009,0.00014374,0.00013920,0.00014190
2021-11-09 01:00:00,0.00014204,0.00014486,0.00013622,0.00014041
2021-11-10 01:00:00,0.00014055,0.00014455,0.00012646,0.00013334
2021-11-11 01:00:00,0.00013300,0.00014015,0.00013296,0.00013704
2021-11-12 01:00:00,0.00013688,0.00014380,0.00013368,0.00013405
2021-11-13 01:00:00,0.00013436,0.00016050,0.00013377,0.00014496
2021-11-14 01:00:00,0.00014564,0.00015032,0.00013954,0.00014308
2021-11-15 01:00:00,0.00014342,0.00020106,0.00014300,0.00019826
2021-11-16 01:00:00,0.00019754,0.00023132,0.00018140,0.00019486
2021-11-17 01:00:00,0.00019496,0.00048442,0.00019200,0.00039750
2021-11-18 01:00:00,0.00039896,0.00050844,0.00035601,0.00043075
2021-11-19 01:00:00,0.00043332,0.00048053,0.00037893,0.00040307
2021-11-20 01:00:00,0.00040299,0.00067667,0.00039732,0.00058666
2021-11-21 01:00:00,0.00058468,0.00083836,0.00057283,0.00063387
2021-11-22 01:00:00,0.00063503,0.00076585,0.00062952,0.00070044
2021-11-23 01:00:00,0.00070167,0.00071279,0.00060098,0.00063739
2021-11-24 01:00:00,0.00063809,0.00100100,0.00062952,0.00098591
2021-11-25 01:00:00,0.00098772,0.00124102,0.00085906,0.00116593
2021-11-26 01:00:00,0.00116380,0.00137280,0.00106827,0.00120963
2021-11-27 01:00:00,0.00121183,0.00122154,0.00102096,0.00110364
2021-11-28 01:00:00,0.00110168,0.00119242,0.00099400,0.00116459
2021-11-29 01:00:00,0.00116220,0.00124464,0.00103201,0.00104269
2021-11-30 01:00:00,0.00104269,0.00106477,0.00098000,0.00099697
2021-12-01 01:00:00,0.00099803,0.00105915,0.00095717,0.00102821
2021-12-02 01:00:00,0.00102956,0.00108582,0.00092267,0.00095758
2021-12-03 01:00:00,0.00095783,0.00096472,0.00082389,0.00084957
2021-12-04 01:00:00,0.00085180,0.00102344,0.00072969,0.00098164
2021-12-05 01:00:00,0.00098223,0.00102419,0.00083299,0.00087210
2021-12-06 01:00:00,0.00087222,0.00092265,0.00078606,0.00086533
2021-12-07 01:00:00,0.00086444,0.00088141,0.00080526,0.00082440
2021-12-08 01:00:00,0.00082334,0.00083535,0.00078074,0.00082673
2021-12-09 01:00:00,0.00082775,0.00094473,0.00080400,0.00086912
