Open Time,Open,High,Low,Close
2023-10-10 02:00:00,0.28620000,0.50000000,0.28620000,0.38230000
2023-10-11 02:00:00,0.38220000,0.39000000,0.31110000,0.31420000
2023-10-12 02:00:00,0.31440000,0.33280000,0.29560000,0.30920000
2023-10-13 02:00:00,0.30920000,0.34300000,0.30080000,0.31840000
2023-10-14 02:00:00,0.31900000,0.33500000,0.30800000,0.30990000
2023-10-15 02:00:00,0.30990000,0.31350000,0.29130000,0.30200000
2023-10-16 02:00:00,0.30210000,0.32870000,0.30000000,0.30670000
2023-10-17 02:00:00,0.30680000,0.30760000,0.28000000,0.28670000
2023-10-18 02:00:00,0.28680000,0.28700000,0.26090000,0.26510000
2023-10-19 02:00:00,0.26510000,0.26580000,0.25000000,0.26060000
2023-10-20 02:00:00,0.26060000,0.27700000,0.25650000,0.26040000
2023-10-21 02:00:00,0.26080000,0.28850000,0.26020000,0.27410000
2023-10-22 02:00:00,0.27390000,0.27540000,0.25800000,0.26650000
2023-10-23 02:00:00,0.26680000,0.27420000,0.26040000,0.27380000
2023-10-24 02:00:00,0.27390000,0.29530000,0.26890000,0.27670000
2023-10-25 02:00:00,0.27680000,0.33950000,0.27180000,0.32580000
2023-10-26 02:00:00,0.32590000,0.34200000,0.28880000,0.30400000
2023-10-27 02:00:00,0.30420000,0.31150000,0.28600000,0.29470000
2023-10-28 02:00:00,0.29470000,0.31960000,0.29230000,0.29730000
2023-10-29 02:00:00,0.29720000,0.31570000,0.29200000,0.31140000
2023-10-30 01:00:00,0.31140000,0.33250000,0.30000000,0.32810000
2023-10-31 01:00:00,0.32810000,0.36500000,0.30380000,0.31840000
2023-11-01 01:00:00,0.31860000,0.31910000,0.28160000,0.30070000
2023-11-02 01:00:00,0.30090000,0.31000000,0.28790000,0.29700000
2023-11-03 01:00:00,0.29710000,0.29730000,0.27530000,0.28520000
2023-11-04 01:00:00,0.28520000,0.29520000,0.28250000,0.29300000
2023-11-05 01:00:00,0.29300000,0.30000000,0.28210000,0.28770000
2023-11-06 01:00:00,0.28750000,0.29350000,0.28370000,0.28960000
2023-11-07 01:00:00,0.28950000,0.29510000,0.28130000,0.29360000
2023-11-08 01:00:00,0.29400000,0.31430000,0.29310000,0.31100000
2023-11-09 01:00:00,0.31110000,0.32260000,0.28560000,0.29780000
2023-11-10 01:00:00,0.29750000,0.32590000,0.29640000,0.31960000
2023-11-11 01:00:00,0.31930000,0.37980000,0.31600000,0.35820000
2023-11-12 01:00:00,0.35800000,0.41740000,0.33400000,0.37990000
2023-11-13 01:00:00,0.37940000,0.52280000,0.37490000,0.38770000
2023-11-14 01:00:00,0.38770000,0.55640000,0.37220000,0.53370000
2023-11-15 01:00:00,0.53370000,0.58400000,0.46000000,0.51180000
